# E_low [keV], E_up [keV], diff. flux [photons/s/cm^2/keV]
1.000000000000000056e-01,1.006931668851804157e-01,1.152412617647099319e-01
1.006931668851804157e-01,1.013911385736679382e-01,5.440866194277775847e-01
1.013911385736679382e-01,1.020939483707680034e-01,1.524492286639947680e-01
1.020939483707680034e-01,1.028016298126473577e-01,1.197124175178877759e-01
1.028016298126473577e-01,1.035142166679343806e-01,1.947000658302713849e-01
1.035142166679343806e-01,1.042317429393304212e-01,4.535136847564658624e-01
1.042317429393304212e-01,1.049542428652322362e-01,5.058904155064434249e-01
1.049542428652322362e-01,1.056817509213658496e-01,2.725960349339289657e+00
1.056817509213658496e-01,1.064143018224316117e-01,2.164702106015731486e-01
1.064143018224316117e-01,1.071519305237606523e-01,1.065569634936741200e-01
1.071519305237606523e-01,1.078946722229828792e-01,1.106949332941196684e-01
1.078946722229828792e-01,1.086425623617065517e-01,5.323092650003669046e-01
1.086425623617065517e-01,1.093956366272093861e-01,1.492768579724569611e-01
1.093956366272093861e-01,1.101539309541415129e-01,1.071546459098337428e-01
1.101539309541415129e-01,1.109174815262401192e-01,2.529817854145423039e-01
1.109174815262401192e-01,1.116863247780561230e-01,1.379659534499509677e-01
1.116863247780561230e-01,1.124604973966926574e-01,1.509498696729414113e-01
1.124604973966926574e-01,1.132400363235557122e-01,1.109834310140799807e-01
1.132400363235557122e-01,1.140249787561168765e-01,3.610662114054718486e-01
1.140249787561168765e-01,1.148153621496882937e-01,1.642783629091589814e-01
1.148153621496882937e-01,1.156112242192098710e-01,1.043122140574829354e-01
1.156112242192098710e-01,1.164126029410491453e-01,1.327077320046964881e-01
1.164126029410491453e-01,1.172195365548130280e-01,9.815869087774209412e-02
1.172195365548130280e-01,1.180320635651729844e-01,9.509890982787687352e-02
1.180320635651729844e-01,1.188502227437018277e-01,1.283490478890622066e-01
1.188502227437018277e-01,1.196740531307243366e-01,1.270270125473099698e-01
1.196740531307243366e-01,1.205035940371797371e-01,1.080250082168993653e-01
1.205035940371797371e-01,1.213388850464977159e-01,3.862302536594077185e-01
1.213388850464977159e-01,1.221799660164871737e-01,1.543342590868520270e-01
1.221799660164871737e-01,1.230268770812381479e-01,1.474981558228619372e-01
1.230268770812381479e-01,1.238796586530369059e-01,9.134016155778512669e-02
1.238796586530369059e-01,1.247383514242942915e-01,9.258508433960055406e-02
1.247383514242942915e-01,1.256029963694874907e-01,1.054600590425482792e-01
1.256029963694874907e-01,1.264736347471151212e-01,1.876067447794152743e-01
1.264736347471151212e-01,1.273503081016661709e-01,8.530362077296092804e-02
1.273503081016661709e-01,1.282330582656021345e-01,9.099453587337098803e-02
1.282330582656021345e-01,1.291219273613534169e-01,1.066118648945822700e-01
1.291219273613534169e-01,1.300169578033290307e-01,8.849687575284921615e-02
1.300169578033290307e-01,1.309181922999407000e-01,9.195799920519080739e-02
1.309181922999407000e-01,1.318256738556407015e-01,1.919812679446605275e-01
1.318256738556407015e-01,1.327394457729739463e-01,8.137351570582181115e-02
1.327394457729739463e-01,1.336595516546442153e-01,8.329964289102544106e-02
1.336595516546442153e-01,1.345860354055948283e-01,9.895284231390723273e-02
1.345860354055948283e-01,1.355189412351036071e-01,1.205695591407760642e-01
1.355189412351036071e-01,1.364583136588924661e-01,1.040341765422058834e-01
1.364583136588924661e-01,1.374041975012515182e-01,7.813865748729628691e-02
1.374041975012515182e-01,1.383566378971780864e-01,7.648116662103145169e-02
1.383566378971780864e-01,1.393156802945303141e-01,8.435241817703119371e-02
1.393156802945303141e-01,1.402813704561958197e-01,1.719796385492042001e-01
1.402813704561958197e-01,1.412537544622754493e-01,8.542443391009832410e-02
1.412537544622754493e-01,1.422328787122819904e-01,7.405405655022093137e-02
1.422328787122819904e-01,1.432187899273543452e-01,7.307265439013509167e-02
1.432187899273543452e-01,1.442115351524868860e-01,7.248746320699228640e-02
1.442115351524868860e-01,1.452111617587742431e-01,7.137290060869121155e-02
1.452111617587742431e-01,1.462177174456718298e-01,7.098035906743904722e-02
1.462177174456718298e-01,1.472312502432719106e-01,7.364334138323891388e-02
1.472312502432719106e-01,1.482518085145953790e-01,7.496583746932174164e-02
1.482518085145953790e-01,1.492794409578996340e-01,8.268498853278277716e-02
1.492794409578996340e-01,1.503141966090022486e-01,6.834770479652374497e-02
1.503141966090022486e-01,1.513561248436207929e-01,7.011068589352979774e-02
1.513561248436207929e-01,1.524052753797291437e-01,6.917182943583315147e-02
1.524052753797291437e-01,1.534616982799294205e-01,7.010680482158965221e-02
1.534616982799294205e-01,1.545254439538414071e-01,6.832185271903887247e-02
1.545254439538414071e-01,1.555965631605074340e-01,6.560940190644248826e-02
1.555965631605074340e-01,1.566751070108149402e-01,6.598242546173989365e-02
1.566751070108149402e-01,1.577611269699348562e-01,6.451553377999781624e-02
1.577611269699348562e-01,1.588546748597779168e-01,6.440000060500343515e-02
1.588546748597779168e-01,1.599558028614668781e-01,6.415145653606621479e-02
1.599558028614668781e-01,1.610645635178270807e-01,6.293629047156210077e-02
1.610645635178270807e-01,1.621810097358929725e-01,6.764487003925946651e-02
1.621810097358929725e-01,1.633051947894334222e-01,7.120914915610825069e-02
1.633051947894334222e-01,1.644371723214931580e-01,6.132696143201481903e-02
1.644371723214931580e-01,1.655769963469528039e-01,6.210887804056947070e-02
1.655769963469528039e-01,1.667247212551062618e-01,5.915964936926897122e-02
1.667247212551062618e-01,1.678804018122560249e-01,5.891328778523406695e-02
1.678804018122560249e-01,1.690440931643264200e-01,6.095085853085233790e-02
1.690440931643264200e-01,1.702158508394950587e-01,5.770143065303639379e-02
1.702158508394950587e-01,1.713957307508425232e-01,5.692294700401524105e-02
1.713957307508425232e-01,1.725837891990203432e-01,5.701479026499410574e-02
1.725837891990203432e-01,1.737800828749375415e-01,5.783289032555180564e-02
1.737800828749375415e-01,1.749846688624656921e-01,5.750794734370852368e-02
1.749846688624656921e-01,1.761976046411629082e-01,5.875032267121032409e-02
1.761976046411629082e-01,1.774189480890165649e-01,5.471574907372488833e-02
1.774189480890165649e-01,1.786487574852050619e-01,5.457217378266072255e-02
1.786487574852050619e-01,1.798870915128787940e-01,5.394164702202366296e-02
1.798870915128787940e-01,1.811340092619602438e-01,5.349052098680168177e-02
1.811340092619602438e-01,1.823895702319637824e-01,5.533549158676044633e-02
1.823895702319637824e-01,1.836538343348346480e-01,5.300057766105772949e-02
1.836538343348346480e-01,1.849268618978078260e-01,5.182208229521666903e-02
1.849268618978078260e-01,1.862087136662867459e-01,5.168487252761439638e-02
1.862087136662867459e-01,1.874994508067418797e-01,5.155250852360793168e-02
1.874994508067418797e-01,1.887991349096293514e-01,5.654432334215167555e-02
1.887991349096293514e-01,1.901078279923300030e-01,5.187043292902068087e-02
1.901078279923300030e-01,1.914255925021085825e-01,4.988665272175408366e-02
1.914255925021085825e-01,1.927524913190936107e-01,5.023552599227596588e-02
