# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.162076793523390911e-02,3.566416341616469539e-12,1.258944968590613773e-12
5.163362331230532398e-02,3.372864125417194062e-12,1.190621036272269518e-12
5.164648509384888592e-02,3.466918013098358946e-12,1.223822058623720688e-12
5.165935328465181414e-02,3.409318121614737479e-12,1.203489296930002313e-12
5.167222788950606716e-02,3.315235547496873690e-12,1.170278148266396326e-12
5.168510891320839823e-02,3.278913064397710210e-12,1.157456311732391628e-12
5.169799636056034153e-02,3.198211673905684598e-12,1.128968720888706627e-12
5.171089023636820520e-02,3.351546975320575767e-12,1.183096082288163203e-12
5.172379054544311988e-02,3.291766479092908859e-12,1.161993567119796669e-12
5.173669729260101102e-02,3.564917309696534436e-12,1.258415810322876591e-12
5.174961048266259189e-02,3.315966330502697003e-12,1.170536114667452065e-12
5.176253012045341911e-02,3.378500636961566973e-12,1.192610724847433159e-12
5.177545621080383714e-02,3.324582853256392761e-12,1.173577747199506575e-12
5.178838875854904072e-02,3.323886374567633960e-12,1.173331890222374674e-12
5.180132776852908183e-02,3.283127595827895057e-12,1.158944041327246974e-12
5.181427324558877945e-02,3.191158637416570199e-12,1.126478999008049180e-12
5.182722519457785143e-02,3.499782198563491324e-12,1.235423116092912285e-12
5.184018362035084510e-02,3.437023379743269474e-12,1.213269253049373975e-12
5.185314852776718580e-02,3.365732799273084380e-12,1.188103678143398669e-12
5.186611992169114227e-02,3.340977963228848106e-12,1.179365221019783317e-12
5.187909780699184042e-02,3.113753630637015557e-12,1.099155031614866514e-12
5.189208218854330507e-02,3.157830406468187584e-12,1.114714133483270084e-12
5.190507307122443903e-02,3.463884270255817095e-12,1.222751147400303280e-12
5.191807045991901626e-02,3.452665702374035026e-12,1.218790992938034248e-12
5.193107435951572343e-02,3.233514632518630577e-12,1.141430665279076536e-12
5.194408477490812526e-02,3.050445607424208204e-12,1.076807299420745359e-12
5.195710171099470615e-02,3.301259457029688308e-12,1.165344588331479875e-12
5.197012517267886322e-02,3.365534081445611889e-12,1.188033530750300875e-12
5.198315516486889248e-02,3.158418500368122563e-12,1.114921730629947199e-12
5.199619169247803735e-02,3.408651539940150596e-12,1.203253993598873164e-12
5.200923476042446092e-02,3.414769570556005032e-12,1.205413658406269723e-12
5.202228437363127372e-02,3.145112248365042180e-12,1.110224623672859927e-12
