# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
2.343250293482023461e-01,3.166642867940098662e-12,8.348460906931012508e-14
2.034987461678575693e-01,3.234509378850939908e-12,6.512399374753212745e-14
1.798481836729383387e-01,3.268051777187722083e-12,2.530188717828470829e-13
1.585151282371998760e-01,3.210868300976818168e-12,5.625143880264342855e-14
1.361760921272525682e-01,3.204813377861480961e-12,6.696439483969163446e-14
1.191362382468874187e-01,3.211943160884835697e-12,6.325570813323344744e-14
1.039712702000153421e-01,3.202376824143503465e-12,5.723860213566596418e-13
8.647890167662773686e-02,3.136358358919443746e-12,4.019156668224995783e-13
7.343051961489464874e-02,3.207445342242051730e-12,2.749946354882876361e-13
5.748541648130633258e-02,3.254741821247707769e-12,2.356310990294559268e-13
