# E [eV], EF_E [erg/cm2s], sigma_EF_E [erg/cm2s]
5.162076793523390911e-02,-1.110349090932571681e-13,-3.919532290991977988e-14
5.163362331230532398e-02,5.070059715101592273e-14,1.789731079430862058e-14
5.164648509384888592e-02,-1.110902260225313128e-13,-3.921484978595355085e-14
5.165935328465181414e-02,-1.111179051612413539e-13,-3.922462052191819760e-14
5.167222788950606716e-02,-1.111455980964064472e-13,-3.923439612803147275e-14
5.168510891320839823e-02,-1.111733048383443255e-13,-3.924417660793554711e-14
5.169799636056034153e-02,-1.112010253973829575e-13,-3.925396196527618238e-14
5.171089023636820520e-02,-1.112287597838605360e-13,-3.926375220370276899e-14
5.172379054544311988e-02,-1.112565080081257294e-13,-3.927354732686838297e-14
5.173669729260101102e-02,-1.112842700805374301e-13,-3.928334733842971016e-14
5.174961048266259189e-02,-1.113120460114649055e-13,-3.929315224204710934e-14
5.176253012045341911e-02,-1.113398358112877601e-13,-3.930296204138457434e-14
5.177545621080383714e-02,-1.113676394903959358e-13,-3.931277674010976565e-14
5.178838875854904072e-02,-7.965888805682442438e-14,-2.811958748405902019e-14
5.180132776852908183e-02,8.663606025124270349e-15,3.058252926868867308e-15
5.181427324558877945e-02,1.911029272254757559e-13,6.745933331059293841e-14
5.182722519457785143e-02,3.820177125926903250e-14,1.348522525452196773e-14
5.184018362035084510e-02,-6.154316756019925972e-14,-2.172473814875033863e-14
5.185314852776718580e-02,-2.878808619547744806e-14,-1.016219442700353903e-14
5.186611992169114227e-02,1.775073463106532388e-14,6.266009324766058914e-15
5.187909780699184042e-02,-6.726091968745278593e-14,-2.374310464967083314e-14
5.189208218854330507e-02,1.291330866421912291e-13,4.558397958469350121e-14
5.190507307122443903e-02,1.842020347717051054e-14,6.502331827441189787e-15
5.191807045991901626e-02,-5.422268417304332854e-15,-1.914060751308429200e-15
5.193107435951572343e-02,1.787889361248078706e-13,6.311249445205717188e-14
5.194408477490812526e-02,2.907588178465724996e-13,1.026378626998400837e-13
5.195710171099470615e-02,3.086682520465895678e-13,1.089598929724461084e-13
5.197012517267886322e-02,5.879177983081201340e-15,2.075349828027664051e-15
5.198315516486889248e-02,1.455834636034885490e-13,5.139096265203145358e-14
5.199619169247803735e-02,2.054994801532875389e-13,7.254131649411050234e-14
5.200923476042446092e-02,2.215810822774802412e-13,7.821812204395052455e-14
