E [eV], flux [erg/cm2s]
146470362.16394782, 1.4172441180209418e-12
311642350.3368908, 1.5714817970710998e-12
673789482.0644218, 2.169829755534271e-12
1442638831.2853549, 1.9771480735744184e-12
3116768807.610075, 1.5090327261888706e-12
6739636942.517659, 1.4844154782149405e-12
14630816973.749363, 1.3459410976792336e-12
30698167489.777554, 8.187231082247427e-13
1133289922252.164, 4.54400214178807e-13
1912570264729.9004, 2.544405562641445e-13
3135819579283.5737, 2.6564153690799106e-13
4864361463619.029, 2.3149440603579665e-13
8511157203303.737, 1.7303486329504424e-13
12871476563190.473, 1.488678624218465e-13
19729061223354.17, 2.779327604115277e-13
17434398330099.727, 2.616554285976419e-13
