E [eV], flux [erg/cm2s]
145962759.2467216, 1.8335402315859656e-12
319709573.99505955, 1.8500851670646034e-12
679587428.8226987, 2.4603030124667004e-12
1486007863.7980783, 2.254342127643399e-12
3125298434.300772, 1.7800520932148067e-12
6816234403.628891, 1.857708282085571e-12
14491000412.276863, 1.8268250751893284e-12
31434724527.702374, 1.3936833449214183e-12
1140006451497.9954, 7.142021375325988e-13
1970357567774.471, 3.6444956618512404e-13
3195679161002.2446, 3.406829367931785e-13
5081785479576.984, 2.7969655637781136e-13
8533819231610.7, 2.2868520074361554e-13
13044714662273.98, 1.963975802149088e-13
19879731248292.266, 3.97570262535894e-13
17955863573102.19, 3.7150271722114706e-13
