E [eV], flux [erg/cm2s]
148343069.87953842, 9.495287691176557e-13
320134924.55513597, 1.2439236293016545e-12
675833082.483892, 1.8660709671403755e-12
1479983210.4987612, 1.7178785014799973e-12
3189194534.2639422, 1.219998412434129e-12
6747108282.437285, 1.109484178835396e-12
14572576268.103193, 8.050105049090007e-13
31537053444.61676, 2.460510541967676e-13
1144139967977.7893, 1.8248999854623652e-13
1955424074953.7847, 1.42843528831136e-13
3233431438549.5576, 1.760714355586869e-13
5123243126651.562, 1.7153084686944926e-13
8578057165446.643, 1.1996661269205714e-13
13079447858462.385, 1.0368259237827571e-13
20419966001920.105, 1.5977787634884e-13
18386687911108.45, 1.6037534287132374e-13
