Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
EVN,1700000000.0,0.005,0.012799999999999999,0.0014
HSA,8400000000.0,0.0015,0.109,0.011000000000000001
HSA,15000000000.0,0.001,0.17,0.017
HSA,24000000000.0,0.001,0.29300000000000004,0.029
VERA,22000000000.0,0.001,0.29,0.029
EAVN,22000000000.0,0.001,0.295,0.029
EAVN,43000000000.0,0.001,0.47300000000000003,0.047
KVN,21700000000.0,0.0043,0.354,0.037
KVN,43400000000.0,0.0022,0.569,0.056
KVN,86800000000.0,0.0011,0.9460000000000001,0.095
KVN,129000000000.0,0.0008,1.07,0.32
VLBA,24000000000.0,0.0006,0.2,0.02
VLBA,43000000000.0,0.0003,0.36200000000000004,0.036
GMVA,86000000000.0,0.00015,0.63,0.06
ALMA,220000000000.0,1.8,2.87,0.29
SMA,220000000000.0,3.0,2.9000000000000004,0.29
EHT,230000000000.0,2e-05,1.51,0.37
HST,520000000000000.0,0.1,2.55,0.21
HST,1100000000000000.0,0.1,1.8,0.26
SWIFT,547000000000000.0,3.0,4.33,1.56
SWIFT,682000000000000.0,3.0,2.64,1.43
SWIFT,865000000000000.0,3.0,1.29,0.7000000000000001
SWIFT,1150000000000000.0,3.0,0.943,0.425
SWIFT,1330000000000000.0,3.0,2.55,0.39
SWIFT,1550000000000000.0,3.0,1.38,0.36
SWIFT,1.08e+18,36.0,2.25,0.0
CH+NU,1.09e+17,0.4,1.04,0.09
CH+NU,1.4e+17,0.4,1.02,0.08
CH+NU,1.79e+17,0.4,1.0,0.06
CH+NU,2.29e+17,0.4,0.9889999999999999,0.052
CH+NU,2.93e+17,0.4,0.9699999999999999,0.041
CH+NU,3.75e+17,0.4,0.9530000000000001,0.031
CH+NU,4.8e+17,0.4,0.936,0.025
CH+NU,6.13e+17,0.4,0.922,0.023999999999999997
CH+NU,7.85e+17,0.4,0.903,0.028
CH+NU,1e+18,0.4,0.885,0.035
CH+NU,1.28e+18,0.4,0.87,0.043
CH+NU,1.64e+18,0.4,0.858,0.053
CH+NU,2.1e+18,0.4,0.8440000000000001,0.06
CH+NU,2.69e+18,0.4,0.831,0.06899999999999999
CH+NU,3.44e+18,0.4,0.815,0.078
CH+NU,4.4e+18,0.4,0.805,0.086
CH+NU,5.62e+18,0.4,0.7919999999999999,0.094
CH+NU,7.19e+18,0.4,0.777,0.102
CH+NU,9.2e+18,0.4,0.765,0.11
CH+NU,1.18e+19,0.4,0.755,0.11800000000000001
FERMI,7.65e+22,7700.0,3.27,1.01
FERMI,7.65e+23,1250.0,1.8699999999999999,0.75
FERMI,7.65e+24,400.0,4.96,2.96
FERMI,7.65e+25,350.0,52.6,0.0
HESS,7.309999999999999e+25,360.0,3.22,0.0
HESS,1.16e+26,360.0,1.44,0.0
HESS,1.83e+26,360.0,0.9740000000000001,0.0
HESS,2.91e+26,360.0,0.8879999999999999,0.0
HESS,4.61e+26,360.0,0.7699999999999999,0.0
MAGIC,3.8199999999999996e+25,240.0,0.14,0.082
MAGIC,6.059999999999999e+25,210.0,0.667,0.468
MAGIC,9.6e+25,180.0,0.383,0.354
MAGIC,1.52e+26,160.0,0.772,0.294
MAGIC,2.4099999999999998e+26,150.0,0.47000000000000003,0.241
MAGIC,3.82e+26,130.0,0.8210000000000001,0.33
VERITAS,5.729999999999999e+25,360.0,9.97,0.0
VERITAS,8.1e+25,360.0,1.7,0.0
VERITAS,1.14e+26,360.0,0.732,0.039
VERITAS,1.61e+26,360.0,0.647,0.37
VERITAS,2.28e+26,360.0,0.962,0.0
VERITAS,3.22e+26,360.0,1.1300000000000001,0.0
