Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
FERMI,7.65e+22,7700.0,3.27,1.01
FERMI,7.65e+23,1250.0,1.8699999999999999,0.75
FERMI,7.65e+24,400.0,4.96,2.96
FERMI,7.65e+25,350.0,52.6,0.0
HESS,7.309999999999999e+25,360.0,3.22,0.0
HESS,1.16e+26,360.0,1.44,0.0
HESS,1.83e+26,360.0,0.9740000000000001,0.0
HESS,2.91e+26,360.0,0.8879999999999999,0.0
HESS,4.61e+26,360.0,0.7699999999999999,0.0
MAGIC,3.8199999999999996e+25,240.0,0.14,0.082
MAGIC,6.059999999999999e+25,210.0,0.667,0.468
MAGIC,9.6e+25,180.0,0.383,0.354
MAGIC,1.52e+26,160.0,0.772,0.294
MAGIC,2.4099999999999998e+26,150.0,0.47000000000000003,0.241
MAGIC,3.82e+26,130.0,0.8210000000000001,0.33
VERITAS,5.729999999999999e+25,360.0,9.97,0.0
VERITAS,8.1e+25,360.0,1.7,0.0
VERITAS,1.14e+26,360.0,0.732,0.039
VERITAS,1.61e+26,360.0,0.647,0.37
VERITAS,2.28e+26,360.0,0.962,0.0
VERITAS,3.22e+26,360.0,1.1300000000000001,0.0
