Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
EVN,1700000000.0,0.005,0.012799999999999999,0.0014
HSA,8400000000.0,0.0015,0.109,0.011000000000000001
HSA,15000000000.0,0.001,0.17,0.017
HSA,24000000000.0,0.001,0.29300000000000004,0.029
VERA,22000000000.0,0.001,0.29,0.029
EAVN,22000000000.0,0.001,0.295,0.029
EAVN,43000000000.0,0.001,0.47300000000000003,0.047
KVN,21700000000.0,0.0043,0.354,0.037
KVN,43400000000.0,0.0022,0.569,0.056
KVN,86800000000.0,0.0011,0.9460000000000001,0.095
KVN,129000000000.0,0.0008,1.07,0.32
VLBA,24000000000.0,0.0006,0.2,0.02
VLBA,43000000000.0,0.0003,0.36200000000000004,0.036
GMVA,86000000000.0,0.00015,0.63,0.06
ALMA,220000000000.0,1.8,2.87,0.29
SMA,220000000000.0,3.0,2.9000000000000004,0.29
EHT,230000000000.0,2e-05,1.51,0.37
