Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
SWIFT,1.08e+18,36.0,2.25,0.0
CH+NU,1.09e+17,0.4,1.04,0.09
CH+NU,1.4e+17,0.4,1.02,0.08
CH+NU,1.79e+17,0.4,1.0,0.06
CH+NU,2.29e+17,0.4,0.9889999999999999,0.052
CH+NU,2.93e+17,0.4,0.9699999999999999,0.041
CH+NU,3.75e+17,0.4,0.9530000000000001,0.031
CH+NU,4.8e+17,0.4,0.936,0.025
CH+NU,6.13e+17,0.4,0.922,0.023999999999999997
CH+NU,7.85e+17,0.4,0.903,0.028
CH+NU,1e+18,0.4,0.885,0.035
CH+NU,1.28e+18,0.4,0.87,0.043
CH+NU,1.64e+18,0.4,0.858,0.053
CH+NU,2.1e+18,0.4,0.8440000000000001,0.06
CH+NU,2.69e+18,0.4,0.831,0.06899999999999999
CH+NU,3.44e+18,0.4,0.815,0.078
CH+NU,4.4e+18,0.4,0.805,0.086
CH+NU,5.62e+18,0.4,0.7919999999999999,0.094
CH+NU,7.19e+18,0.4,0.777,0.102
CH+NU,9.2e+18,0.4,0.765,0.11
CH+NU,1.18e+19,0.4,0.755,0.11800000000000001
