Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
NIC3 F222M,137000000000000.0,0.4,4.521,0.822
NIC3 F166N,181000000000000.0,0.4,5.611,1.4480000000000002
NIC2 F110W,247000000000000.0,0.4,5.0882000000000005,0.4446
ACS-WFC F850LP,332000000000000.0,0.4,4.5816,0.0332
ACS-HRC F814W,370000000000000.0,0.4,3.5149999999999997,0.7030000000000001
ACS-HRC F606W,499000000000000.0,0.4,3.15867,0.31437
ACS-HRC F475W,632000000000000.0,0.4,2.61016,0.07583999999999999
ACS-HRC F330W,893000000000000.0,0.4,1.8753000000000002,0.035719999999999995
ACS-HRC F330W,893000000000000.0,0.4,1.9288799999999997,0.035719999999999995
ACS-HRC F250W,1110000000000000.0,0.4,1.7205,0.033299999999999996
STIS-F25QTZ,1270000000000000.0,0.4,1.3335000000000001,0.038099999999999995
ACS-HRC F220W,1360000000000000.0,0.4,1.8088,0.0544
STIS-F25SRF2,2060000000000000.0,0.4,0.9743799999999999,0.09682
