Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
JWST,61219491095068.36,1.7,3.327907470948956,0.3327907470948956
JWST,61209498523721.305,1.7,3.3139057144161317,0.3313905714416132
JWST,61199509213923.31,1.7,3.2184546203519764,0.3218454620351977
JWST,61189523164077.77,1.7,3.13298222986296,0.313298222986296
JWST,61179540372589.17,1.7,3.1748781495212506,0.3174878149521251
JWST,61169560837863.0,1.7,3.177937310660495,0.3177937310660495
JWST,61159584558305.805,1.7,3.1438000743760983,0.31438000743760985
JWST,61149611532325.16,1.7,3.2052458767088967,0.3205245876708897
JWST,61139641758329.695,1.7,3.0988700813917096,0.30988700813917097
JWST,61129675234729.055,1.7,3.123197402311161,0.31231974023111614
JWST,61119711959933.945,1.7,3.1429895396439234,0.31429895396439234
JWST,61109751932356.09,1.7,3.1903393870641814,0.31903393870641816
JWST,61099795150408.266,1.7,3.260183580483639,0.3260183580483639
JWST,61089841612504.26,1.7,3.1531710062866884,0.31531710062866886
JWST,61079891317058.914,1.7,3.0741725566033375,0.3074172556603338
JWST,61069944262488.086,1.7,3.0832190235325037,0.3083219023532504
JWST,61060000447208.68,1.7,3.1486075844993735,0.3148607584499374
JWST,61050059869638.62,1.7,3.2272555470479225,0.32272555470479225
JWST,61040122528196.86,1.7,3.2153316432974126,0.3215331643297413
JWST,61030188421303.41,1.7,3.170101682871337,0.3170101682871337
JWST,61020257547379.26,1.7,3.181932301654669,0.3181932301654669
JWST,61010329904846.47,1.7,3.140908698017812,0.31409086980178125
JWST,61000405492128.1,1.7,3.075594113352247,0.3075594113352247
JWST,60990484307648.26,1.7,3.1599788346158233,0.3159978834615823
JWST,60980566349832.055,1.7,3.1837852170877814,0.3183785217087782
JWST,60970651617105.65,1.7,3.1359661331382243,0.31359661331382244
JWST,60960740107896.195,1.7,3.121957405019286,0.31219574050192866
JWST,60950831820631.9,1.7,3.060548385378428,0.3060548385378428
JWST,60940926753741.95,1.7,3.115692249393922,0.3115692249393922
JWST,60931024905656.62,1.7,3.1313149949525916,0.3131314994952592
JWST,60921126274807.125,1.7,3.1288350492643824,0.31288350492643824
JWST,60911230859625.766,1.7,3.1355932414796914,0.31355932414796917
JWST,60901338658545.81,1.7,3.1668515136455158,0.3166851513645516
JWST,60891449670001.6,1.7,3.1490792179245375,0.3149079217924538
JWST,60881563892428.44,1.7,3.1134879299561735,0.31134879299561735
JWST,60871681324262.664,1.7,3.2320883383944556,0.3232088338394456
JWST,60861801963941.664,1.7,3.236902364157987,0.3236902364157987
JWST,60851925809903.77,1.7,3.219794524373375,0.32197945243733755
JWST,60842052860588.4,1.7,3.191733859166087,0.3191733859166087
JWST,60832183114435.93,1.7,3.1974770063715128,0.3197477006371513
JWST,60822316569887.79,1.7,3.209857617630164,0.3209857617630164
JWST,60812453225386.375,1.7,3.1198397983723756,0.3119839798372376
JWST,60802593079375.15,1.7,3.183405956362044,0.3183405956362044
JWST,60792736130298.516,1.7,3.123046898971383,0.31230468989713833
JWST,60782882376601.95,1.7,3.1085598242737964,0.31085598242737966
JWST,60773031816731.9,1.7,3.1445899009644327,0.3144589900964433
JWST,60763184449135.836,1.7,3.0721141485251353,0.3072114148525135
JWST,60753340272262.21,1.7,3.138762975392652,0.3138762975392652
JWST,60743499284560.52,1.7,3.104556463029004,0.31045564630290046
JWST,60733661484481.22,1.7,3.154533402135194,0.3154533402135194
JWST,60723826870475.82,1.7,3.2050859882171028,0.3205085988217103
JWST,60713995440996.78,1.7,3.1553644647919477,0.31553644647919477
JWST,60704167194497.61,1.7,3.2194051754239834,0.32194051754239833
JWST,60694342129432.78,1.7,3.1256579600994896,0.31256579600994894
JWST,60684520244257.79,1.7,3.1068845374887735,0.3106884537488774
JWST,60674701537429.14,1.7,3.155931458786197,0.31559314587861975
JWST,60664886007404.29,1.7,3.1377723269492894,0.31377723269492896
JWST,60655073652641.76,1.7,3.1294385037781276,0.3129438503778128
