Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
JWST,56711612616480.78,1.7,3.166642867940099,0.008348460906931011
JWST,49251000171483.07,1.7,3.23450937885094,0.006512399374753213
JWST,43527063884759.57,1.7,3.268051777187722,0.02530188717828471
JWST,38364013317081.1,1.7,3.210868300976818,0.005625143880264343
JWST,32957494151728.324,1.7,3.204813377861481,0.006696439483969164
JWST,28833489153232.336,1.7,3.211943160884836,0.006325570813323345
JWST,25163246176595.246,1.7,3.2023768241435033,0.057238602135665964
JWST,20929723064691.754,1.7,3.136358358919444,0.04019156668224996
JWST,17771738658095.453,1.7,3.207445342242052,0.027499463548828765
JWST,13912686492147.941,1.7,3.2547418212477077,0.023563109902945596
