Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
VLA-A (Nagar et al. 2001),5000000000.0,0.4,0.155,0.0029999999999999996
VLA-A avg,8400000000.0,0.4,0.25367999999999996,0.00168
VLA-A,8400000000.0,0.4,0.26459999999999995,0.01344
VLA-A avg,15000000000.0,0.4,0.40499999999999997,0.015000000000000003
VLA-A,22000000000.0,0.4,0.44,0.022000000000000002
ALMA,93700000000.0,0.4,1.70534,0.05621999999999999
ALMA,108000000000.0,0.4,2.0627999999999997,0.054000000000000006
ALMA,221000000000.0,0.4,3.602299999999999,0.0663
ALMA,252000000000.0,0.4,3.5784,0.05040000000000001
ALMA,286000000000.0,0.4,3.6608,0.0572
ALMA,350000000000.0,0.4,3.36,0.07
ALMA,635000000000.0,0.4,2.7304999999999997,0.5714999999999999
Keck 11.7um (Whysong & Antonucci 2004),26000000000000.0,0.4,3.3800000000000003,0.52
Gemini 10.8um (Perlman et al. 2001),28000000000000.0,0.4,4.676,0.252
NIC3 F222M,137000000000000.0,0.4,4.521,0.822
NIC3 F166N,181000000000000.0,0.4,5.611,1.4480000000000002
NIC2 F110W,247000000000000.0,0.4,5.0882000000000005,0.4446
ACS-WFC F850LP,332000000000000.0,0.4,4.5816,0.0332
ACS-HRC F814W,370000000000000.0,0.4,3.5149999999999997,0.7030000000000001
ACS-HRC F606W,499000000000000.0,0.4,3.15867,0.31437
ACS-HRC F475W,632000000000000.0,0.4,2.61016,0.07583999999999999
ACS-HRC F330W,893000000000000.0,0.4,1.8753000000000002,0.035719999999999995
ACS-HRC F330W,893000000000000.0,0.4,1.9288799999999997,0.035719999999999995
ACS-HRC F250W,1110000000000000.0,0.4,1.7205,0.033299999999999996
STIS-F25QTZ,1270000000000000.0,0.4,1.3335000000000001,0.038099999999999995
ACS-HRC F220W,1360000000000000.0,0.4,1.8088,0.0544
STIS-F25SRF2,2060000000000000.0,0.4,0.9743799999999999,0.09682
Chandra avg (00 & 02),2.42e+17,0.4,0.605,0.3025
Chandra,2.42e+17,0.4,0.48399999999999993,0.024200000000000003
Chandra (Di Matteo et al. 2003),2.42e+17,0.4,0.7502,0.021779999999999997
Chandra avg (00 & 02),2.42e+18,0.4,0.5566,0.2904
Chandra,2.42e+18,0.4,0.6776,0.08712
Chandra (Di Matteo et al. 2003),2.42e+18,0.4,0.43559999999999993,0.055659999999999994
HESS,2.42e+26,0.4,387200000.00000006,241999999.99999997
