Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
STIS-F25SRF2,2060000000000000.0,0.24,0.8528399999999999,0.08446
ACS-HRC F220W,1360000000000000.0,0.26,1.4687999999999999,0.027200000000000002
STIS-F25QTZ,1270000000000000.0,0.24,2.2986999999999997,0.0254
ACS-HRC F250W,1100000000000000.0,0.26,1.408,0.011
ACS-HRC F330W,893000000000000.0,0.26,1.59847,0.12502000000000002
ACS-HRC F475W,632000000000000.0,0.26,2.61016,0.34128
ACS-HRC F606W,499000000000000.0,0.26,2.11576,0.11975999999999999
ACS-HRC F814W,370000000000000.0,0.3,2.3458,0.46619999999999995
ACS-WFC F850LP,332000000000000.0,0.28,4.316,0.4647999999999999
NIC2 F110W,247000000000000.0,0.3,3.9767,0.3952
VLBI 1.3mm (Doeleman et al. 2012),230000000000.0,0.04,2.254,0.092
VLBI 3mm (Lonsdale et al. 1998),100000000000.0,,0.5,0.09999999999999999
VLBI 3.5mm (Lee et al. 2008),86000000000.0,0.0001,0.1376,0.06020000000000001
VLBI (Junor & Biretta 1995),22000000000.0,0.0005,0.07699999999999999,0.0132
VLBI (Morabito et al. 1986),8400000000.0,0.001,0.04368,0.0042
VLBI (Morabito et al. 1988),2300000000.0,0.003,0.01449,0.0018399999999999998
VLBI (Giovannini et al. 1990),1600000000.0,0.004,0.005824,
