Instrument,Frequency_Hz,Angular_Scale_arcsec,nuFnu_1e-12ergscm2,sigma_nuFnu_1e-12ergscm2
STIS-F25SRF2,2060000000000000.0,0.24,8.528399999999999e+45,8.445999999999999e+44
ACS-HRC F220W,1360000000000000.0,0.26,1.4687999999999998e+46,2.7199999999999997e+44
STIS-F25QTZ,1270000000000000.0,0.24,2.2987e+46,2.5399999999999996e+44
ACS-HRC F250W,1100000000000000.0,0.26,1.4079999999999997e+46,1.0999999999999998e+44
ACS-HRC F330W,893000000000000.0,0.26,1.59847e+46,1.2501999999999999e+45
ACS-HRC F475W,632000000000000.0,0.26,2.61016e+46,3.4128e+45
ACS-HRC F606W,499000000000000.0,0.26,2.1157599999999996e+46,1.1975999999999999e+45
ACS-HRC F814W,370000000000000.0,0.3,2.3457999999999996e+46,4.6619999999999993e+45
ACS-WFC F850LP,332000000000000.0,0.28,4.316e+46,4.647999999999999e+45
NIC2 F110W,247000000000000.0,0.3,3.9766999999999994e+46,3.952e+45
VLBI 1.3mm (Doeleman et al. 2012),230000000000.0,0.04,2.254e+46,9.2e+44
VLBI 3mm (Lonsdale et al. 1998),100000000000.0,,5e+45,1e+45
VLBI 3.5mm (Lee et al. 2008),86000000000.0,,1.376e+45,6.020000000000001e+44
VLBI (Junor & Biretta 1995),22000000000.0,,7.699999999999999e+44,1.32e+44
VLBI (Morabito et al. 1986),8400000000.0,,4.368e+44,4.1999999999999995e+43
VLBI (Morabito et al. 1988),2300000000.0,,1.4489999999999998e+44,1.8399999999999997e+43
VLBI (Giovannini et al. 1990),1600000000.0,,5.823999999999999e+43,
